_id,degree,betweenness,closeness_cent,eigen_cent
B00ID7ECM4,5.582537821693742e-05,0.0,0.041916578000900956,4.422851282828702e-08
B01MG7LMI1,0.00022330151286774968,0.0007782329696065778,0.04473015878478884,3.4692885815314613e-07
B00EY7K91A,0.0006140791603863116,0.0008600552230274084,0.03905394226882862,7.27835129535471e-11
B00IMMTH9S,0.00016747613465081226,0.0007162670427864063,0.03883388675537074,2.60210279756793e-11
B00J28GOEM,5.582537821693742e-05,0.0,5.582537821693742e-05,5.150104133588708e-66
B07J39P2R4,5.582537821693742e-05,0.0,5.582537821693742e-05,5.150104133588708e-66
B00Q4TKVWI,0.0002791268910846871,6.198397626309064e-05,0.03271119834434333,2.650426428684419e-13
B01N7P98QJ,0.00016747613465081226,7.643205348296107e-09,0.031181479864219257,9.93108257617812e-14
B00E613FA6,0.00016747613465081226,0.00014230968082615166,0.038928545138404894,2.325465457721053e-09
B072JZ3MNV,0.0002791268910846871,0.0004416889251739426,0.03849946676661172,1.047975928184911e-09
B01MTR1XRJ,0.00016747613465081226,0.0,0.00016747613465081226,6.528532596181612e-36
B0758GRXC8,0.00016747613465081226,0.0,0.00016747613465081226,6.528532596181612e-36
B00X3Y78DM,5.582537821693742e-05,0.0,5.582537821693742e-05,5.150104133588708e-66
B07CLLX8J1,5.582537821693742e-05,0.0,5.582537821693742e-05,5.150104133588708e-66
B002WTE14S,0.0002791268910846871,2.493317472842225e-08,0.0002791268910846871,7.736867210960263e-33
B0764HGVNW,0.00016747613465081226,3.1166468410527813e-09,0.0001993763507747765,5.66988667656681e-33
B071P7B672,0.0005582537821693742,0.007765937255606116,0.039770852654763496,1.0424010203258532e-08
B0732PNCJ7,0.0003907776475185619,0.004475123357691542,0.040519323142608706,1.8125150802460336e-09
B016UA06AC,0.00022330151286774968,0.0027304895626604478,0.04540145077034188,9.866668342309992e-09
B07MGM9RP5,0.00016747613465081226,0.0029666985001858496,0.043171153912798,1.39335318734384e-09
B0099QFXJ4,0.00011165075643387484,0.0,0.0349690921216104,9.993167505178864e-12
B00I9JSY5M,0.0003349522693016245,0.00014875755372344924,0.03690540097745283,3.6679181254224425e-11
B0162YQG2I,0.00011165075643387484,7.439436009592989e-05,0.04115078331193156,9.29920879218383e-08
B01DDM7RV6,5.582537821693742e-05,0.0,0.038757433155856245,1.2455375238724834e-08
B07DYBGWQR,0.00011165075643387484,0.0018909100316287712,0.04938303514999286,3.5952266512486956e-05
B07N996N4J,0.0003349522693016245,0.002816626875692275,0.048021587628589234,0.00013826585051070135
B00ALT38G8,0.00016747613465081226,3.2837138502626906e-05,0.04701108489801956,3.059702879640405e-05
B00IAURV36,0.00022330151286774968,0.0006215050320343796,0.049025059132385806,8.135240114640189e-05
B001CY4IPQ,5.582537821693742e-05,0.0,0.04257788133005139,4.159426550486142e-09
B07NGH51PS,0.00022330151286774968,0.0002773275964470496,0.045484017745893564,3.0503520890737285e-08
B07D8YTFH8,0.00022330151286774968,0.00029753380732794484,0.03735784299867987,6.003919522713021e-10
B07PVNVC56,0.00011165075643387484,7.439436009592989e-05,0.03537504211221395,8.259562420200385e-11
B003QSI4CE,0.0009490314296879361,0.0021144483489799427,0.04313509639252719,3.5040349582504416e-08
B003SEBEFA,0.0005024284039524368,0.000966686070208775,0.04263882818154351,1.0523029999393692e-08
B00AA9ANB2,5.582537821693742e-05,0.0,0.00011165075643387484,8.633291591064598e-51
B07DD5D948,0.00016747613465081226,3.116646841052781e-08,0.00017864121029419975,1.595224279837277e-50
B072394B2G,0.0003349522693016245,0.0023336538129999852,0.047759174581438475,9.21070687724888e-08
B073H8PGZW,0.0002791268910846871,7.754934351786826e-05,0.04620029940950543,8.975277600387239e-08
B075FX4N73,0.00016747613465081226,0.00014878248689817767,0.033816782855690314,2.5764006585919628e-09
B07GYDN3NT,0.00011165075643387484,0.00022314568052569703,0.035623965739399924,1.9537414984593716e-08
B06XFX513M,0.00044660302573549935,0.0005704440355482866,0.038267545615738204,3.6557471424561023e-11
B07G951Z84,0.0002791268910846871,0.00020656935640091354,0.03999444507996515,5.012039374458432e-11
B00D6OI99G,0.0002791268910846871,4.6126373247581163e-07,0.0003163438098959787,1.2459920231595577e-29
B00LZRLYYI,0.00016747613465081226,0.0,0.00024820822007222946,7.729233650008022e-30
B01M2YUP0S,0.0011165075643387483,0.005065986699738874,0.04329241063755743,4.1193769421579025e-06
B01MF8TJV5,0.00016747613465081226,4.098951796723652e-05,0.040663718341856094,8.585166281367057e-07
0500203474,0.00016747613465081226,1.2466587364211125e-08,0.00016747613465081226,6.165580989784874e-46
8838789940,0.00011165075643387484,0.0,0.0001256071009881092,5.269337831226e-46
B07JVGY6WR,5.582537821693742e-05,0.0,5.582537821693742e-05,5.150104133588708e-66
B07K4R1XT6,5.582537821693742e-05,0.0,5.582537821693742e-05,5.150104133588708e-66
B06XGXXJ6S,0.00011165075643387484,0.0,0.0001256071009881092,5.269337831225996e-46
B06XH1VK5S,0.00011165075643387484,0.0,0.0001256071009881092,5.269337831225996e-46
B07F3WQVBS,5.582537821693742e-05,0.0,0.03953775312464306,3.785671032142782e-11
B07H9WZL2W,0.00016747613465081226,0.00014878248689817767,0.04203154660399079,2.6800835328809746e-10
0062641549,0.00022330151286774968,8.851277028589899e-07,0.0008175106233802362,2.130578783014284e-20
1463750358,0.00022330151286774968,9.007109370642538e-07,0.000879631491418248,4.916072563224378e-20
B0041KWSJ6,0.00016747613465081226,0.0,0.00017864121029419975,5.667672489411959e-35
B004NAVSD6,0.00016747613465081226,0.0,0.00017864121029419975,5.667672489411959e-35
B072K4Z4G6,0.00011165075643387484,0.0,0.0001256071009881092,5.118824529125693e-41
B079NFSMQC,0.00016747613465081226,3.1166468410527813e-09,0.00016747613465081226,6.556069685428378e-41
B00CMN6Y5I,5.582537821693742e-05,0.0,5.582537821693742e-05,5.150104133588708e-66
B07HZ3XK4L,5.582537821693742e-05,0.0,5.582537821693742e-05,5.150104133588708e-66
B06XFF7SQN,0.0002791268910846871,0.005035537115705003,0.05130588282036247,1.2307795805234665e-05
B07P84VCNJ,0.0007257299168201864,0.015651980144248224,0.05484869723835005,6.912074951392461e-05
B07FCDDJRH,0.00011165075643387484,8.74953800392422e-05,0.03894913438450401,2.610136143298958e-12
B07K2XGW1R,0.0003349522693016245,0.00017075951218243875,0.03747383982551086,1.4445224297635277e-12
B075GRSNKT,0.00011165075643387484,0.00011138999698150674,0.0407090921996568,3.227693148053937e-09
B075H28M6K,0.0003349522693016245,0.001856331997056456,0.04335471274174125,2.2207733675749045e-08
B0748KLR3B,0.00016747613465081226,0.0,0.046119659861101475,0.0005375718068348622
B0748NW4Y4,0.00022330151286774968,1.0240411049173422e-08,0.04612019474303529,0.0006196334454853053
