_id	product	title	author-id	author-name	date	rating	helpful	verified	body
R1A7E5UAZL3VMI	B00ESBHG3Q	Bello	AF5SPUMZ2TMR5AR3ZJVFRVDOAOQA	Andrea	2019-03-20	5	0	True	Bello
R2P39OTBVZA1PL	B00ESBHG3Q	Meraviglioso	AHFEDCLILJ45SUBU2TTISTQW7E7Q	Bianca Vietri	2019-02-19	5	0	True	Vale davvero la pena di comprarlo.
R28FBXVJZQTGAH	B00ESBHG3Q	Per PS4	AHIY6LDQ5TX5XCPHPCVXGFRQ3JOQ	Luciano	2019-03-02	5	0	True	Gioco molto bello
R28AB4WQJNKR41	B00ESBHG3Q	Ottimo	AFMTL6RL5CWOJOUFCYPKD4U6OT5A	Stefano	2019-02-09	5	0	True	Stupendo
R3OJ2AAO1M1BQW	B00ESBHG3Q	Consigliato	AFLDUUGHRWXECQVGKX2N75VZKPFQ	Stefano	2019-02-06	5	0	True	Spedizione veloce e puntuale.
R2O6AU7MLY0VKV	B00ESBHG3Q	Ok	AGYWWVW33OKKKF4OAGG37UTHVYGQ	Cliente Amazon	2019-03-20	5	0	True	Tutto ok
R2VWPCSZO1CNKE	B00ESBHG3Q	Spettacolare, imperdibile!	AGNPDY3C5KUNT7A3EMXF6WPU4FLA	Matteo	2019-02-18	5	0	True	L’attesa è stata ben ripagata.
R1IVKF3FQBWSCM	B00ESBHG3Q	Lacrime	AEVTJC4CYZBHSH5MRE6O6VLPX4ZA	Alberto Sta	2019-02-15	5	0	True	Capolavoro, gioco perfetto
ROUB3XK97I6R5	B00ESBHG3Q	Finalmente	AG2QASVK57ONZHFSCR5ATZO5IM4Q	Fallax	2019-02-15	5	0	True	Tanta roba
RDD6CNA67RAFV	B00ESBHG3Q	😍😍😍😍	AEUYDIPT3ZL6HQXXXKASQMC2LETA	Cliente Amazon	2019-02-22	5	0	True	Uno spettacolo.........
R2LTVKF40A8651	B00ESBHG3Q	Magico	AF7RPTYKSOMOMFKVUVWUQ6QBLEWQ	Julia	2019-03-12	5	0	True	Semplicemente magico.
RKYSBXK8QWLIQ	B00ESBHG3Q	Gran gioco	AEBLB7QSY6KESURL3LV46HOQ7ZPQ	AlbySG8	2019-02-22	5	0	True	Spettacolo
R17AXUE5XW928F	B00ESBHG3Q	Da non perdere	AEQ6B2T34YK6NNILHSKHG2J7REVQ	Vincenzo 	2019-02-27	5	0	True	Gioco fantastico!
R25T6Y0Z1UCF57	B00ESBHG3Q	Bellissimo	AGJH5J7CKYJEE5ZWAGD2FCZZQ4OA	Cliente Amazon	2019-02-15	5	0	True	Da comprare
R27G8HZ2S0L3KL	B00ESBHG3Q	Bellissimo	AEMZRXD6ZQOU2AWYLAD4HDNUG4DQ	Alberto	2019-02-15	5	0	True	Bellissimo
R3PE3MKCIXYJ2S	B00ESBHG3Q	Epico!	AHKCXQKR3P5RQXUATDAK3CPWNIWQ	SDavide91	2019-02-19	5	0	True	Epico!
RPP5TA7WTP854	B00ESBHG3Q	Lunga attesa ripagata?	AHXK5HC6JDESEAOPOGMZAOBF4EZA	L'animazione secondo Edo	2019-01-29	4	8	False	"Difficile valutazione di uno dei giochi più attesi negli ultimi 10 (e passa) anni.
Il primo capitolo uscì nel 2002, ne è passato di tempo, sono usciti vari capitoli, spin-off e compagnia bella, ma la cosa è un po’ sfuggita di mano direi.
Perchè direte voi? Perchè la trama si è arricchita così tanto da diventare addirittura difficile da seguire e ricordare, soprattutto perchè è cominciata ben DICIASSETTE ANNI FA. Quindi a conti fatti, vista la mole di contenuti narrativi e rimandi celati in KH3, consiglio vivamente a tutti di recuperare i capitoli precedenti (presenti anche su PS4). Perchè, seriamente, per apprezzare davvero la trama di quest’ultimo capitolo, dovete conoscere delle librate di roba, e tutto ciò diventa quasi tragicomico.
Per tutti coloro che sono preoccupati per la trama (inutilmente) arzigogolata, dico: non disperate! Perchè al di là della narrazione del titolo (paradossalmente l’aspetto meno riuscito), tutto il resto brilla, ma brilla così tanto da dover metter su gli occhiali da sole!
C’è tantissima Disney, ancora più che in passato, tirando fuori dal cilindro una grafica spaccamascella, un cartone animato che manco Oceania, ambienti meravigliosi e atmosfere letteralmente magiche; una gioia per tutti i bambini e per tantissimi grandi (che sono cresciuti magari col primo capitolo).
Le musiche sono tra le più belle mai presentate in un videogioco, le meccaniche prendono il buono dai capitoli precedenti (e fortunatamente anche dagli spin-off), ci sono decine e decine di minigiochi che spezzano (anche troppo) il ritmo di gioco, rendendo tutto molto più vario rispetto a qualche capitolo fa.
Il gioco è lungo, le prime 15-20 ore sono piuttosto lente, la difficoltà è tarata verso il basso (per i più navigati, consiglio di partire con difficile), quindi anche per i marmocchietti è un buon inizio.
In conclusione che dire: penso che questa saga sia stata tirata troppo per le lunghe, allungandone inutilmente il brodo e perdendo molto sotto il profilo narrativo.
Quindi le soluzioni sono tre: vi sparate tutta la saga e vi studiate tutto per filo e per segno, vi guardate un bel video riassuntivo, o vi godete questo spettacolo, passando sopra alla complicatissima storia e gustandovi i meravigliosi mondi riprodotti con cura certosina.
8.5/10"
R1ZA4S06RFP6YV	B00ESBHG3Q	Kingdom Hearts 3.	AG34JZRPPIXDT535OKSRSCOAQENQ	Lorenzo	2019-01-29	5	8	False	"Io ancora non ci credo di avercelo tra le mani, ma eccolo qui, Kingdom Hearts 3, la conclusione di un’avventura quasi ventennale è finalmente tra noi, nei negozi, online, pronto per essere acquistato e giocato. Ed è perfetto. Dal punto di vista grafico si è praticamente immersi al 100% nei propri film Disney e Pixar preferiti: Monsters & Co, Toy Story, Frozen, Rapunzel risplendono gloriosamente e poter esplorare liberamente mondi originali di Kingdom Hearts come Crepuscopoli o il Cimitero Dei Keyblade in tutta la loro maestosità è una sensazione fantastica. Il gameplay è a dir poco perfetto: vario, divertente, intuitivo, con possibilità infinite praticamente; Square Enix ha pensato bene di eliminare ciò che è meno piaciuto di tutti i capitoli (come la console dei comandi di Birth By Sleep e Dream Drop Distance) e di lasciare ciò che andava bene (ad esempio il fluimoto e soprattutto i miei amatissimi comandi di tiro); tantissimi attacchi combinati con i nostri eroi Disney e amici preferiti, armi intercambiabili e combinabili che rendono i combattimenti sempre avvincenti; Colonna sonora come sempre perfetta e azzeccata, con possibilità di controllare più personaggi… questo non è un gioco, è IL gioco. E non è che perché l'abbiamo aspettato tanto allora è bello per forza, no. È bello perché lo è davvero. Anni, anni di attesa finalmente ripagati.
Piccolo appunto: l’epilogo e il finale segreto necessitano di una connessione internet per essere scaricati (download che avverrà rispettivamente il 30 e 31 gennaio, per chi finisse il gioco entro queste date).
E ora basta ciance, si va a sconfiggere Xehanort e la sua Organizzazione XIII una volta per tutte (si spera!)"
RZDW0RMGKQ4CJ	B00ESBHG3Q	Giovani VS Adulti.	AH7676ISA652ORSBOFBDVBBMM4NA	cosepreziose	2019-02-16	4	1	False	"Così tanti anni passati dal secondo capitolo che ho perso un po' di quella magia nonostante la desiderosa attesa, e anche alcuni passaggi finiti nell'oblio della coscienza, al punto che sarà forse per l'età ma quando ho giocato l'ultima volta a KH risale circa a nove anni fa, ebbene cambiano tante cose crescendo ricordando quando fui un 24 enne un sacco di tempo a disposizione e gli amici all'oratorio insieme tra pomeriggi e serate ed essere oggi un 33enne con il peso delle responsabilità di un giovane adulto ed un tempo limitato. Non me la sento di riprendere in mano i capitoli precedenti, ed ovviamente il coinvolgimento è per natura inferiore.
La meccanica di gioco è sempre quella, la difficoltà invece qualcosina di più facile.
C'è stato un grande hype giocando sulla nostalgia, il prezzo di lancio per me esagerato,"
